function	file	line	col	source	char	type	optimization
CT_POLICY_EVAL_CTX_new	crypto/ct/ct_policy.c	48	29	    ctx->epoch_time_in_ms = ossl_time2ms(now);	o	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel
add_entry	apps/rehash.c	129	38	    unsigned int ndx = (type + hash) % OSSL_NELEM(hash_table);	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
dgram_read	crypto/bio/bss_dgram.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
b64_write	crypto/evp/bio_b64.c	424	24	                n -= n % 3;	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os-fglobal-isel
ssl_cert_dup	ssl/ssl_cert.c	114	38	    ret->key = &ret->pkeys[cert->key - cert->pkeys];	-	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
OPENSSL_gmtime_adj	crypto/o_time.c	95	34	    tm->tm_min = (time_sec / 60) % 60;	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
SCT_print	crypto/ct/ct_prn.c	44	71	                 ASN1_STRING_get0_data(gen), (unsigned int)(timestamp % 1000));	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
ossl_pqueue_reserve	ssl/priority_queue.c	17	1	OSSL_SAFE_MATH_UNSIGNED(size_t, size_t)	O	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
tls_choose_sigalg	ssl/t1_lib.c	4658	57	        if (!s->server && !ssl_has_cert(s, s->cert->key - s->cert->pkeys))	-	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
s_client_main	apps/s_client.c	2988	17	                openssl_fdset(SSL_get_fd(con), &writefds);	o	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
SSL_get_default_timeout	ssl/ssl_lib.c	2243	22	    return (long int)ossl_time2seconds(s->method->get_timeout());	o	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
enc_main	apps/enc.c	391	23	    buff = app_malloc(EVP_ENCODE_LENGTH(bsize), "evp buffer");	E	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
ossl_quic_rcidm_on_handshake_complete	ssl/quic/quic_rcidm.c	483	9	    if (rcidm->packets_sent >= PACKETS_PER_RCID)	r	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel
ossl_json_i64	ssl/quic/json_enc.c	551	34	        for (*p = '\0'; v > 0; v /= 10)	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel
s_client_main	apps/s_client.c	3142	35	                   || (!isquic && FD_ISSET(SSL_get_fd(con), &readfds))) {	F	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel|Oz--aarch64-enable-global-isel-at-O=100|Oz--aarch64-enable-global-isel-at-O=50|Oz--aarch64-stress-ccmp|Oz--aarch64-stress-promote-const|Oz--disable-machine-sink|Oz--disable-post-ra|Oz--enable-machine-outliner=never|Oz--enable-post-misched=false|Oz--jump-is-expensive|Oz--regalloc=pbqp|Oz-fglobal-isel|Oz-finline-hint-functions|Oz-finstrument-functions|Oz-fno-inline|Oz-fno-inline-functions
BN_bn2dec	crypto/bn/bn_conv.c	63	23	    num = (i / 10 + i / 1000 + 1) + 1;	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
tls_choose_sigalg	ssl/t1_lib.c	4685	51	                        int cc_idx = s->cert->key - s->cert->pkeys;	-	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
dtls1_ctrl	ssl/d1_lib.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
dtls1_handle_timeout	ssl/d1_lib.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel
def_time_cb	crypto/ts/ts_rsp_sign.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
ossl_quic_get_event_timeout	ssl/quic/quic_impl.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
OPENSSL_gmtime_diff	crypto/o_time.c	183	42	        (3 * ((y + 4900 + (m - 14) / 12) / 100)) / 4 + d - 32075;	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel
added_obj_hash	crypto/objects/obj_dat.c	134	20	            ret ^= p[i] << ((i * 3) % 24);	p	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
ossl_quic_rcidm_on_packet_sent	ssl/quic/quic_rcidm.c	483	9	    if (rcidm->packets_sent >= PACKETS_PER_RCID)	r	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel
ossl_property_list_to_string	crypto/property/property_parse.c	680	38	    for (; tmpval > 9; len++, tmpval /= 10);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
ssl_cert_set_current	ssl/ssl_cert.c	400	31	        idx = (size_t)(c->key - c->pkeys + 1);	-	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
dtls1_stop_timer	ssl/d1_lib.c	110	43	    tv.tv_usec = (t.t % OSSL_TIME_SECOND) / OSSL_TIME_US;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
ossl_asn1_time_from_tm	crypto/asn1/a_time.c	308	49	                                    ts->tm_year % 100, ts->tm_mon + 1,	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
OSSL_ERR_STATE_restore	crypto/err/err_save.c	16	29	    es->top = (es->top + 1) % ERR_NUM_ERRORS;	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
BN_BLINDING_invert_ex	crypto/bn/bn_blind.c	185	25	                n->d[i] &= mask;	&	mmem	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--fast-isel|Os-fglobal-isel|Oz--aarch64-enable-global-isel-at-O=100|Oz--aarch64-enable-global-isel-at-O=50|Oz-fglobal-isel
DES_quad_cksum	crypto/des/qud_cksm.c	70	70	            z1 = ((t0 * ((t1 + NOISE) & 0xffffffffL)) & 0xffffffffL) %	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
i2d_SSL_SESSION	ssl/ssl_asn1.c	172	27	    as.timeout = (int64_t)ossl_time2seconds(in->timeout);	o	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
s_client_main	apps/s_client.c	3043	25	                    && !FD_ISSET(SSL_get_fd(con), &writefds))	F	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
www_body	apps/s_server.c	3415	43	                        BIO_write(io, ((i % 3) ? " " : "\n"), 1);	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
OSSL_sleep	crypto/sleep.c	62	36	    ts.tv_sec = (long int) (millis / 1000);	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
fmtfp	crypto/bio/bio_print.c	729	30	            tmpexp = (tmpexp / 10);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2--unroll-force-peel-count=50|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3--unroll-force-peel-count=50|O3-fglobal-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast--unroll-force-peel-count=50|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os--unroll-force-peel-count=50|Os-fglobal-isel
ossl_bio_print_labeled_buf	crypto/encode_decode/encoder_lib.c	789	16	        if ((i % LABELED_BUF_PRINT_WIDTH) == 0) {	%	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel|Oz--disable-lsr
SCT_print	crypto/ct/ct_prn.c	37	46	                             (int)(timestamp / 86400000),	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
tls_construct_ctos_psk	ssl/statem/extensions_clnt.c	1126	28	        agesec = (uint32_t)ossl_time2seconds(t);	o	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
ossl_ifc_ffc_compute_security_bits	crypto/rsa/rsa_lib.c	301	31	    r = (r * (uint64_t)scale) / log_e;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
get_error_values	crypto/err/err.c	462	30	        i = (es->bottom + 1) % ERR_NUM_ERRORS;	%	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O1-fglobal-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O2-fglobal-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3-fglobal-isel|Ofast--aarch64-enable-global-isel-at-O=100|Ofast--aarch64-enable-global-isel-at-O=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast-fglobal-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os-fglobal-isel
