function	file	line	col	source	char	type	optimization
PQCLEAN_FALCON512_CLEAN_verify_recover	vrfy.c	371	12	    d += Q & -(d >> 31);	&	cjump	O1--disable-select-optimize=false|O2--disable-select-optimize=false
PQCLEAN_FALCONPADDED512_CLEAN_verify_recover	vrfy.c	792	16	        w += Q & -(w >> 31);	&	cjump	O1--disable-select-optimize=false|O2--disable-select-optimize=false
PQCLEAN_FALCON1024_CLEAN_verify_recover	vrfy.c	792	16	        w += Q & -(w >> 31);	&	cjump	O1--disable-select-optimize=false|O2--disable-select-optimize=false
PQCLEAN_FALCONPADDED1024_CLEAN_verify_recover	vrfy.c	792	16	        w += Q & -(w >> 31);	&	cjump	O1--disable-select-optimize=false|O2--disable-select-optimize=false
PQCLEAN_HQC256_CLEAN_reed_solomon_decode	reed_solomon.c	132	68	            X_sigma_p[i] = (mask12 & sigma_copy[i - 1]) ^ (~mask12 & X_sigma_p[i - 1]);	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
zint_rebuild_CRT	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHAKE256SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHA2128SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHA2256FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_HQC128_CLEAN_reed_solomon_decode	reed_solomon.c	132	68	            X_sigma_p[i] = (mask12 & sigma_copy[i - 1]) ^ (~mask12 & X_sigma_p[i - 1]);	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHA2128FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_HQC192_CLEAN_reed_solomon_decode	reed_solomon.c	132	68	            X_sigma_p[i] = (mask12 & sigma_copy[i - 1]) ^ (~mask12 & X_sigma_p[i - 1]);	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHAKE192FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHAKE256FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHAKE128SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHA2192FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
solve_NTRU	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHA2192SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
PQCLEAN_SPHINCSSHAKE128FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
