function	file	line	col	source	char	type	optimization
speed_main	apps/speed.c	4210	54	            kems_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
dhparam_main	apps/dhparam.c	345	43	                                          outformat == FORMAT_ASN1	o	cjump	O0|O1|O2|O3|Os|Oz
sh_clearbit	crypto/mem_sec.c	376	45	    bit = (ONE << list) + ((ptr - sh.arena) / (sh.arena_size >> list));	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_muldiv_u64	ssl/quic/cc_newreno.c	5	1	OSSL_SAFE_MATH_UNSIGNED(u64, uint64_t)	O	mdiv	O0
ossl_punycode_decode	crypto/punycode.c	173	28	            if (w > maxint / (base - t))	/	mdiv	O0
speed_main	apps/speed.c	4522	51	                   1.0 / ecdsa_results[k][0], 1.0 / ecdsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4562	51	                   1.0 / eddsa_results[k][0], 1.0 / eddsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3305	53	            rsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
do_sigver_init	crypto/evp/m_sigver.c	197	26	    locpctx->operation = ver ? EVP_PKEY_OP_VERIFYCTX	v	cjump	O0|O1|O2|O3|Os|Oz
safe_muldiv_size_t	crypto/bio/bss_dgram_pair.c	18	1	OSSL_SAFE_MATH_UNSIGNED(size_t, size_t)	O	mdiv	O0
sh_init	crypto/mem_sec.c	473	39	    sh.bittable_size = (sh.arena_size / sh.minsize) * 2;	/	mdiv	O0
ssl3_write_bytes	ssl/record/rec_layer_s3.c	448	28	            tmppipelen = n / maxpipes;	/	mdiv	O0
ssl3_write_bytes	ssl/record/rec_layer_s3.c	433	15	        if (n / maxpipes >= split_send_fragment) {	/	mdiv	O0|O1|O2|O3|Os|Oz
ssl_cipher_list_to_bytes	ssl/statem/statem_clnt.c	4172	13	            !maxverok	!	cjump	O0|O1|O2|O3|Os
speed_main	apps/speed.c	3492	55	            ecdsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4584	24	                   1.0 / sm2_results[k][0], 1.0 / sm2_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
HKDF_Expand	providers/implementations/kdfs/hkdf.c	631	17	    n = okm_len / dig_len;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3522	55	            ecdsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
setup_request_ctx	apps/cmp.c	1877	20	            desc = opt_csr == NULL	o	cjump	O0|O1|O2|O3|Os
adapt	crypto/punycode.c	50	27	    delta = delta + delta / numpoints;	/	mdiv	O0
speed_main	apps/speed.c	4483	24	                   1.0 / rsa_results[k][1], 1.0 / rsa_results[k][2],	/	mdiv	O0|O1|O2|O3|Os|Oz
n_fold	providers/implementations/kdfs/krb5kdf.c	321	27	        rotbits = 13 * (l / constant_len);	/	mdiv	O0
OPENSSL_LH_delete	crypto/lhash/lhash.c	167	57	        (lh->down_load >= (lh->num_items * LH_LOAD_MULT / lh->num_nodes)))	/	mdiv	O0|O1|O2|O3|Os|Oz
pkcs12kdf_derive	providers/implementations/kdfs/pkcs12kdf.c	77	35	    Slen = v * ((saltlen + v - 1) / v);	/	mdiv	O0
ASN1_item_sign_ctx	crypto/asn1/a_sign.c	246	21	        paramtype = pkey->ameth->pkey_flags & ASN1_PKEY_SIGPARAM_NULL ?	p	cjump	O0|O1|O2|O3|Os|Oz
X509_ALGOR_set_md	crypto/asn1/x_algor.c	91	16	    int type = md->flags & EVP_MD_FLAG_DIGALGID_ABSENT ? V_ASN1_UNDEF	m	cjump	O0|O1|O3
speed_main	apps/speed.c	4221	54	            kems_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4600	44	                   ffdh_results[k][0], 1.0 / ffdh_results[k][0]);	/	mdiv	O0|O2|O3|Os|Oz
speed_main	apps/speed.c	4605	24	                   1.0 / ffdh_results[k][0], ffdh_results[k][0]);	/	mdiv	O0|O2|O3|Os|Oz
speed_main	apps/speed.c	4482	42	                   rsa_keys[k].bits, 1.0 / rsa_results[k][0],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4648	24	                   1.0 / sigs_results[k][2], sigs_results[k][0],	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_ec_wNAF_mul	crypto/ec/ec_mult.c	481	46	            numblocks = (BN_num_bits(scalar) / blocksize) + 1;	/	mdiv	O0|O1|O2|O3|Os|Oz
cipher_hw_camellia_initkey	providers/implementations/ciphers/cipher_camellia_hw.c	35	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
safe_muldiv_size_t	ssl/priority_queue.c	17	1	OSSL_SAFE_MATH_UNSIGNED(size_t, size_t)	O	mdiv	O0
ossl_punycode_decode	crypto/punycode.c	164	52	            if ((unsigned int)digit > (maxint - i) / w)	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4484	24	                   1.0 / rsa_results[k][3],	/	mdiv	O0|O1|O2|O3|Os|Oz
ctr_BCC_init	providers/implementations/rands/drbg_ctr.c	153	47	    return ctr_BCC_block(ctr, ctr->KX, bltmp, num_of_blk * AES_BLOCK_SIZE);	n	cjump	O0
BN_mod_exp_mont_word	crypto/bn/bn_exp.c	1256	21	        if ((next_w / w) != w) { /* overflow */	/	mdiv	O0
cipher_hw_aes_initkey	providers/implementations/ciphers/cipher_aes_hw.c	108	27	        dat->stream.cbc = (dat->mode == EVP_CIPH_CBC_MODE)	(	cjump	O0
index_alpha	providers/implementations/kdfs/argon2.c	451	66	            ref_area_sz = ctx->lane_length - ctx->segment_length +	+	cjump	O0
s_time_main	apps/s_time.c	315	43	         nConn, totalTime, ((double)nConn / totalTime), bytes_read);	/	mdiv	O0|O1|O2|O3|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	311	49	    index_b = (mac_end_offset + md_length_size) / md_block_size;	/	mdiv	O0
sh_getlist	crypto/mem_sec.c	347	51	    size_t bit = (sh.arena_size + ptr - sh.arena) / sh.minsize;	/	mdiv	O0|Os|Oz
abs_val	crypto/bio/bio_print.c	538	30	    if (result > 0 && result / 2 == result) /* INF */	/	mdiv	O0
cipher_hw_camellia_initkey	providers/implementations/ciphers/cipher_camellia_hw.c	39	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
RAND_poll	crypto/rand/rand_lib.c	229	56	                         (ossl_rand_pool_entropy(pool) / 8.0)) == 0)	/	mdiv	O0
cipher_hw_aes_initkey	providers/implementations/ciphers/cipher_aes_hw.c	63	31	            dat->stream.cbc = (dat->mode == EVP_CIPH_CBC_MODE)	(	cjump	O0
ssl_print_compressed_certificates	ssl/t1_trce.c	1427	87	        BIO_printf(bio, "Compressed length=%d, Ratio=%f:1\n", (int)clen, (float)uclen / (float)clen);	/	mdiv	O0|O1|O2|O3|Os
scrypt_alg	providers/implementations/kdfs/scrypt.c	460	27	    if (p > SCRYPT_PR_MAX / r) {	/	mdiv	O0
camellia_init_key	crypto/evp/e_camellia.c	209	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
speed_main	apps/speed.c	4625	24	                   1.0 / kems_results[k][0],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4626	50	                   1.0 / kems_results[k][1], 1.0 / kems_results[k][2],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4502	62	                   dsa_bits[k], 1.0 / dsa_results[k][0], 1.0 / dsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4041	54	            ffdh_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_div_int	crypto/stack/stack.c	18	1	OSSL_SAFE_MATH_SIGNED(int, int)	O	mdiv	O0
multiblock_speed	apps/speed.c	5139	45	        results[D_EVP][j] = ((double)count) / d * mblengths[j];	/	mdiv	O0|O1|O2|O3|Os
pkcs12_main	apps/pkcs12.c	561	28	                           keyname ?	k	cjump	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3828	57	                sm2_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
CMAC_Update	crypto/cmac/cmac.c	212	39	    max_burst_blocks = LOCAL_BUF_SIZE / bl;	/	mdiv	O0|O1|O2|O3|Os|Oz
PKCS12_pbe_crypt_ex	crypto/pkcs12/p12_decr.c	93	24	                       passlen == 0 ? "empty password"	p	cjump	O0|O1|O2|O3|Os|Oz
kek_wrap_key	crypto/cms/cms_pwri.c	270	39	    olen = (inlen + 4 + blocklen - 1) / blocklen;	/	mdiv	O0
speed_main	apps/speed.c	4542	24	                   1.0 / ecdh_results[k][0], ecdh_results[k][0]);	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_ec_wNAF_precompute_mult	crypto/ec/ec_mult.c	876	40	    numblocks = (bits + blocksize - 1) / blocksize; /* max. number of blocks	/	mdiv	O0
speed_main	apps/speed.c	4413	54	            sigs_results[testnum][2] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
pkcs12kdf_derive	providers/implementations/kdfs/pkcs12kdf.c	79	39	        Plen = v * ((passlen + v - 1) / v);	/	mdiv	O0
new_raw_key_int	crypto/evp/p_lib.c	468	29	                            key_is_priv ? OSSL_PKEY_PARAM_PRIV_KEY	k	cjump	O0|O1|O2|O3|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	278	13	         1) / md_block_size;	/	mdiv	O0|O1|O2|O3|Os|Oz
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	123	28	               (int)(total / lh->num_nodes),	/	mdiv	O0|O1|O2|O3|Os|Oz
recode_wnaf	crypto/ec/curve448/curve448.c	558	48	    unsigned int table_size = C448_SCALAR_BITS / (table_bits + 1) + 3;	/	mdiv	O0|O1|O2|O3|Os|Oz
ssl_cache_cipherlist	ssl/ssl_lib.c	7079	61	        size_t numciphers = PACKET_remaining(cipher_suites) / n;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3367	53	            rsa_results[testnum][3] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4502	37	                   dsa_bits[k], 1.0 / dsa_results[k][0], 1.0 / dsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3445	53	            dsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_muldiv_uint64_t	ssl/quic/quic_fc.c	16	1	OSSL_SAFE_MATH_UNSIGNED(uint64_t, uint64_t)	O	mdiv	O0
simple_get_asn1	crypto/x509/x_all.c	119	27	    size_t max_resp_len = (it == ASN1_ITEM_rptr(X509_CRL)) ?	(	cjump	O0|Os|Oz
n_fold	providers/implementations/kdfs/krb5kdf.c	307	36	    lcm = blocksize * constant_len / gcd;	/	mdiv	O0
kbkdf_derive	providers/implementations/kdfs/kbkdf.c	343	31	        if ((uint64_t)(keylen / h) >= counter_max) {	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4647	24	                   1.0 / sigs_results[k][0], 1.0 / sigs_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4584	49	                   1.0 / sm2_results[k][0], 1.0 / sm2_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_statem_client13_write_transition	ssl/statem/statem_clnt.c	513	26	        st->hand_state = (s->s3.tmp.cert_req == 1) ? TLS_ST_CW_CERT_VRFY	(	cjump	O0
ossl_qtx_flush_net	ssl/quic/quic_record_tx.c	1000	12	    return total_written > 0	t	cjump	O0|O2|O3|Os
ossl_ec_wNAF_mul	crypto/ec/ec_mult.c	596	59	                    numblocks = (tmp_len + blocksize - 1) / blocksize;	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_punycode_decode	crypto/punycode.c	181	19	        n = n + i / (written_out + 1);	/	mdiv	O0
pbkdf2_derive	providers/implementations/kdfs/pbkdf2.c	419	17	    if ((keylen / mdlen) >= KDF_PBKDF2_MAX_KEY_LEN_DIGEST_RATIO) {	/	mdiv	O0
kdf_argon2_derive	providers/implementations/kdfs/argon2.c	1098	36	    segment_length = memory_blocks / (ctx->lanes * ARGON2_SYNC_POINTS);	/	mdiv	O0|O1|O2|O3|Os|Oz
bytepad	providers/implementations/macs/kmac_prov.c	632	24	    sz = (len + w - 1) / w * w;	/	mdiv	O0
gf_serialize	crypto/ec/curve448/f_generic.c	35	20	            buffer |= ((dword_t) red->limb[LIMBPERM(j)]) << fill;	|	cjump	O0|O1|O2|O3|Os
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	306	30	    index_a = mac_end_offset / md_block_size;	/	mdiv	O0
verify_ss_cert_trans	crypto/cmp/cmp_genm.c	277	30	                       desc, trusted == NULL ? "using trust store"	t	cjump	O0|O1|O2|O3|Os|Oz
aes_init_key	crypto/evp/e_aes.c	2447	31	            dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	125	28	               (int)(total / n_used), (int)((total % n_used) * 100 / n_used));	/	mdiv	O0|O1|O2|O3|Os|Oz
NAME_CONSTRAINTS_check	crypto/x509/v3_ncons.c	296	65	        || (name_count > 0 && constraint_count > NAME_CHECK_MAX / name_count))	/	mdiv	O0|O1|O2|O3|Os|Oz
app_tminterval	apps/lib/apps.c	2909	31	        ret = (now - tmstart) / (double)tck;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4462	56	                printf(" %11.2fk", results[k][testnum] / 1e3);	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_sha3_squeeze	crypto/sha/sha3.c	192	29	        len = bsz * (outlen / bsz);	/	mdiv	O0
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	263	36	                                   / md_block_size) + 1);	/	mdiv	O0|O1|O2|O3|Os|Oz
inverse	crypto/idea/i_skey.c	105	26	            q = (n1 - r) / n2;	/	mdiv	O0|Oz
gf_serialize	crypto/ec/curve448/f_generic.c	35	58	            buffer |= ((dword_t) red->limb[LIMBPERM(j)]) << fill;	<	cjump	O0|O1|O2|O3|Os
aes_init_key	crypto/evp/e_aes.c	2487	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
BN_mod_exp_mont_word	crypto/bn/bn_exp.c	1276	25	            if ((next_w / a) != w) { /* overflow */	/	mdiv	O0
BIO_dump_indent_cb	crypto/bio/bio_dump.c	44	16	    rows = len / dump_width;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_div_int	crypto/evp/evp_enc.c	31	1	OSSL_SAFE_MATH_SIGNED(int, int)	O	mdiv	O0
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	380	31	            for (i = 1; i < k / md_block_size - 1; i++)	/	mdiv	O0
ssl3_mac	ssl/record/methods/ssl3_meth.c	235	16	    npad = (48 / md_size) * md_size;	/	mdiv	O0
s_time_main	apps/s_time.c	319	33	         nConn > 0 ? bytes_read / nConn : 0l);	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4626	24	                   1.0 / kems_results[k][1], 1.0 / kems_results[k][2],	/	mdiv	O0|O1|O2|O3|Os|Oz
rsa_multiprime_keygen	crypto/rsa/rsa_gen.c	321	16	    quo = bits / primes;	/	mdiv	O0|O3
index_alpha	providers/implementations/kdfs/argon2.c	444	55	            ref_area_sz = slice * ctx->segment_length +	+	cjump	O0
dhparam_main	apps/dhparam.c	267	49	                                                (informat == FORMAT_ASN1)	(	cjump	O0|O1|O2|O3|Os|Oz
rsa_to_text	providers/implementations/encode_decode/encode_key2text.c	577	33	                               (hashalg_nid == NID_sha1	h	cjump	O0|O1|O2|O3|Os|Oz
scrypt_alg	providers/implementations/kdfs/scrypt.c	499	19	    if (N + 2 > i / r) {	/	mdiv	O0
inner_loader_fetch	crypto/store/store_meth.c	355	13	            unsupported	u	cjump	O0|O1|O2|O3|Os|Oz
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	124	52	               (int)((total % lh->num_nodes) * 100 / lh->num_nodes),	/	mdiv	O0|O1|O2|O3|Os|Oz
s_time_main	apps/s_time.c	400	73	             nConn, (long)time(NULL) - finishtime + maxtime, bytes_read / nConn);	/	mdiv	O0|O1|O2|O3|Os|Oz
fmtint	crypto/bio/bio_print.c	469	26	        uvalue = (uvalue / (unsigned)base);	/	mdiv	O0|O1|O2|O3|Os|Oz
rsa_to_text	providers/implementations/encode_decode/encode_key2text.c	583	33	                               (maskgenalg_nid == NID_mgf1	m	cjump	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4232	54	            kems_results[testnum][2] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4537	44	                   ecdh_results[k][0], 1.0 / ecdh_results[k][0]);	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_quic_channel_raise_protocol_error_loc	ssl/quic/quic_channel.c	3509	22	    int err_reason = error_code == OSSL_QUIC_ERR_INTERNAL_ERROR	e	cjump	O0|O1|O2|O3|Os|Oz
ossl_punycode_decode	crypto/punycode.c	179	15	        if (i / (written_out + 1) > maxint - n)	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4522	24	                   1.0 / ecdsa_results[k][0], 1.0 / ecdsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
tls_post_encryption_processing_default	ssl/record/methods/tls_common.c	1687	24	    size_t headerlen = rl->isdtls ? DTLS1_RT_HEADER_LENGTH	r	cjump	O0|O1|O2|O3|Os|Oz
s_time_main	apps/s_time.c	396	43	         nConn, totalTime, ((double)nConn / totalTime), bytes_read);	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3697	59	                eddsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3275	53	            rsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
bn_div_words	crypto/bn/bn_asm.c	233	19	            q = h / dh;	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_ffc_params_FIPS186_4_gen_verify	crypto/ffc/ffc_params_generate.c	679	17	    n = (L - 1) / (mdsize << 3);	/	mdiv	O0
speed_main	apps/speed.c	4647	50	                   1.0 / sigs_results[k][0], 1.0 / sigs_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4483	49	                   1.0 / rsa_results[k][1], 1.0 / rsa_results[k][2],	/	mdiv	O0|O1|O2|O3|Os|Oz
calculate_columns	apps/lib/columns.c	25	28	    dc->columns = (80 - 1) / dc->width;	/	mdiv	O0|O1|O2|O3|Os|Oz
gf_deserialize	crypto/ec/curve448/f_generic.c	83	38	            buffer |= ((dword_t) sj) << fill;	<	cjump	O0|O1|O2|O3|Os
list_pkey	apps/list.c	1263	28	                           pkey_flags & ASN1_PKEY_DYNAMIC ?	p	cjump	O0
check_msg_all_certs	crypto/cmp/cmp_vfy.c	449	36	                                   mode_3gpp ? "self-issued extraCerts"	m	cjump	O0|O1|O2|O3|Os|Oz
sh_find_my_buddy	crypto/mem_sec.c	623	44	    bit = (ONE << list) + (ptr - sh.arena) / (sh.arena_size >> list);	/	mdiv	O0|Os|Oz
fmtfp	crypto/bio/bio_print.c	630	26	                tmpvalue /= 10;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_div_round_up_int	crypto/evp/evp_enc.c	31	1	OSSL_SAFE_MATH_SIGNED(int, int)	O	mdiv	O0
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	125	68	               (int)(total / n_used), (int)((total % n_used) * 100 / n_used));	/	mdiv	O0|O1|O2|O3|Os|Oz
bytepad	providers/implementations/macs/kmac_prov.c	612	33	        *out_len = (sz + w - 1) / w * w;	/	mdiv	O0
speed_main	apps/speed.c	3415	53	            dsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3335	53	            rsa_results[testnum][2] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3856	57	                sm2_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
tls_get_max_records_default	ssl/record/methods/tls_common.c	1533	28	        pipes = ((len - 1) / *preffrag) + 1;	/	mdiv	O0|O1|O2|O3|Os|Oz
multiblock_speed	apps/speed.c	5162	63	                fprintf(stdout, " %11.2fk", results[D_EVP][j] / 1e3);	/	mdiv	O0|O1|O2|O3|Os
adapt	crypto/punycode.c	57	45	    return k + (((base - tmin + 1) * delta) / (delta + skew));	/	mdiv	O0
print_result	apps/speed.c	4796	44	    results[alg][run_no] = ((double)count) / time_used * lengths[run_no];	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3724	59	                eddsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4390	54	            sigs_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
gf_deserialize	crypto/ec/curve448/f_generic.c	83	20	            buffer |= ((dword_t) sj) << fill;	|	cjump	O0|O1|O2|O3|Os
speed_main	apps/speed.c	3610	54	            ecdh_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4562	24	                   1.0 / eddsa_results[k][0], 1.0 / eddsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
camellia_init_key	crypto/evp/e_camellia.c	213	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	cjump	O0
OPENSSL_LH_insert	crypto/lhash/lhash.c	124	55	    if ((lh->up_load <= (lh->num_items * LH_LOAD_MULT / lh->num_nodes)) && !expand(lh))	/	mdiv	O0|O1|O2|O3|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	387	31	            for (i = 1; i < k / md_block_size; i++)	/	mdiv	O0
req_main	apps/req.c	766	35	                                  CAkeyfile != CAfile	C	cjump	O0|O1|O2|O3|Os|Oz
x509_main	apps/x509.c	760	33	            BIO_printf(bio_err, i < 0	i	cjump	O0|O1|O2|O3|Os|Oz
CMAC_Update	crypto/cmac/cmac.c	213	32	    cipher_blocks = (dlen - 1) / bl;	/	mdiv	O0|Oz
sh_setbit	crypto/mem_sec.c	388	45	    bit = (ONE << list) + ((ptr - sh.arena) / (sh.arena_size >> list));	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4401	54	            sigs_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
ossl_ml_dsa_key_compress_low_bits	crypto/ml_dsa/ml_dsa_key_compress.c	92	9	    *r0 -= (((int32_t)ML_DSA_Q_MINUS1_DIV2 - *r0) >> 31) & (int32_t)ML_DSA_Q;	-	cjump	O1|O2|O3|Os
ossl_quic_channel_set_incoming_stream_auto_reject	ssl/quic/quic_channel.c	3983	41	    ch->incoming_stream_auto_reject     = (enable != 0);	=	cjump	O1|O2|O3|Os|Oz
BN_num_bits	crypto/bn/bn_lib.c	124	7	    l ^= (x ^ l) & mask;	^	cjump	O1|O2|O3
BN_num_bits	crypto/bn/bn_lib.c	141	10	    bits += 1 & mask;	+	cjump	O1|O2|O3
encrypt_cpa	crypto/ml_kem/ml_kem.c	475	23	    return (mask & x) | (~mask & subtracted);	|	cjump	O1|O2|O3|Os|Oz
BN_num_bits	crypto/bn/bn_lib.c	117	10	    bits += 16 & mask;	+	cjump	O1|O2|O3
ossl_ml_dsa_key_compress_use_hint	crypto/ml_dsa/ml_dsa_key_compress.c	92	9	    *r0 -= (((int32_t)ML_DSA_Q_MINUS1_DIV2 - *r0) >> 31) & (int32_t)ML_DSA_Q;	-	cjump	O1|O2|O3|Os
ASN1_put_object	crypto/asn1/asn1_lib.c	167	7	    i |= (xclass & V_ASN1_PRIVATE);	|	cjump	O1|O2|O3|Os|Oz
CRYPTO_secure_malloc_init	crypto/mem_sec.c	473	39	    sh.bittable_size = (sh.arena_size / sh.minsize) * 2;	/	mdiv	O1|O2|O3|Os|Oz
kdf_pbkdf2_derive	providers/implementations/kdfs/pbkdf2.c	419	17	    if ((keylen / mdlen) >= KDF_PBKDF2_MAX_KEY_LEN_DIGEST_RATIO) {	/	mdiv	O1|O2|O3|Os|Oz
ossl_ml_dsa_key_compress_decompose	crypto/ml_dsa/ml_dsa_key_compress.c	72	12	        r1 ^= ((43 - r1) >> 31) & r1;	^	cjump	O1|O2|O3|Os
aes_gcm_siv_cipher	providers/implementations/ciphers/cipher_aes_gcm_siv_hw.c	270	19	    ctx->used_dec = 1;	=	cjump	O1|O2|O3|Os|Oz
bn_div_words	crypto/bn/bn_asm.c	257	11	        h -= th;	-	cjump	O1|O2|O3|Os
ossl_ml_dsa_key_compress_high_bits	crypto/ml_dsa/ml_dsa_key_compress.c	72	12	        r1 ^= ((43 - r1) >> 31) & r1;	^	cjump	O1|O2|O3|Os|Oz
BN_num_bits_word	crypto/bn/bn_lib.c	110	10	    bits += 32 & mask;	+	cjump	O1|O2|O3|Os|Oz
ssl3_cbc_copy_mac	ssl/record/methods/tls_pad.c	355	48	    return (unsigned char)constant_time_select(mask, a, b);	m	cjump	O1|O2|O3|Os
