function	file	line	col	source	char	type	optimization
prime_generate_internal	primegen.c	340	7	  if (!qbits)	!	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
crypto_kem_keypair_derand_3	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
indcpa_enc_2	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
crypto_kem_keypair_derand_2	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
crypto_kem_keypair_derand_3	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
polyvec_basemul_acc_montgomery_4	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
crypto_kem_keypair_derand_4	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
crypto_kem_keypair_derand_4	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
polyvec_basemul_acc_montgomery_2	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
indcpa_enc_3	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
indcpa_enc_3	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
indcpa_enc_2	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
_gcry_mlkem_decap	kyber.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
crypto_kem_keypair_derand_2	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
mont_reduc	mpih-pow.c	87	14	      s1_size--;	-	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv
_gcry_mlkem_decap	kyber.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
polyvec_basemul_acc_montgomery_3	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
nist_generate_key	ecc.c	557	16	        test = mpi_set_opaque (NULL, rndbuf, len*8);	m	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv|Oz-ftrapv
indcpa_enc_4	./kyber-kdep.c	743	10	  t = (a - (int32_t)t*KYBER_Q) >> 16;	-	cjump	O1-ftrapv
indcpa_enc_4	./kyber-kdep.c	761	22	  t  = ((int32_t)v*a + (1<<25)) >> 26;	+	cjump	O1-ftrapv
_gcry_calloc_secure	global.c	1160	18	  if (m && bytes / m != n)	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0
_gcry_kdf_scrypt	scrypt.c	277	22	  if (r128 && nbytes / r128 != N)	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0|Oz--instcombine-max-iterations=0
_gcry_kdf_scrypt	scrypt.c	273	22	  if (r128 && nbytes / r128 != p)	/	mdiv	O1--instcombine-max-iterations=0
_gcry_calloc	global.c	1140	18	  if (m && bytes / m != n)	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0
_gcry_xcalloc_secure	global.c	1281	19	  if (m && nbytes / m != n)	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0
